Title,Description,Date Original,Date2,Era,Latitude,Longitude,Collection#,Marker,Digital Collection,Website,Reference URL,CONTENTdm number,Image Link,Latitude2,Longitude2,Additional Count,Additional Count Text,Search
33NEZ225,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ225.tif from CD-ROM_F746.P76_1998 (Disc 1),1933,1933,1930-1939,46.062451,-115.886282,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1641,1641,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1641&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ225   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ225.tif from CD-ROM_F746.P76_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1933
33NEZ230,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ230.tif from CD-ROM_F746.P76_1998 (Disc 1),1933,1933,1930-1939,46.020218,-115.894866,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1642,1642,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1642&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ230   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ230.tif from CD-ROM_F746.P76_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1933
33NEZ255,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ255.tif from CD-ROM_F746.P76_1998 (Disc 1),1933,1933,1930-1939,46.159519,-115.840431,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1643,1643,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1643&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 1),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ255   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ255.tif from CD-ROM_F746.P76_1998 (Disc 1) | Idaho Historical Aerial Photographs | 1933
33NEZ260,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ260.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.12166,-115.853003,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1644,1644,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1644&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ260   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ260.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ265,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ265.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.072484,-115.845525,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1645,1645,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1645&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ265   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ265.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ270,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ270.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.028669,-115.84392,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1646,1646,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1646&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ270   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ270.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ275,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ275.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,45.993508,-115.865162,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1647,1647,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1647&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ275   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ275.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ280,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ280.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.00207,-115.836894,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1648,1648,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1648&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ280   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ280.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ285,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ285.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.046104,-115.818206,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1649,1649,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1649&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ285   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ285.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ290,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ290.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.095337,-115.808019,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1650,1650,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1650&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ290   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ290.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ295,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ295.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.147368,-115.802631,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1651,1651,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1651&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ295   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ295.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ300,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ300.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.116838,-115.798684,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1652,1652,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1652&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ300   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ300.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ305,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ305.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.067684,-115.790893,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1653,1653,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1653&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ305   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ305.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ310,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ310.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.022463,-115.794148,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1654,1654,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1654&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ310   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ310.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ315,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ315.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,45.978123,-115.793599,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1655,1655,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1655&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ315   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ315.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ320,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ320.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,45.936161,-115.785478,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1656,1656,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1656&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ320   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ320.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ325,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ325.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,45.974113,-115.77433,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1657,1657,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1657&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ325   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ325.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ330,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ330.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.015599,-115.765309,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1658,1658,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1658&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ330   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ330.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
33NEZ335,Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ335.tif from CD-ROM_F746.P76_1998 (Disc 2),1933,1933,1930-1939,46.063385,-115.754805,8,wht_circle,Idaho Historical Aerial Photographs,http://digital.lib.uidaho.edu/cdm/landingpage/collection/uiiap,http://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1659,1659,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&CISOPTR=1659&action=2&DMSCALE=42.34298&DMWIDTH=600&DMHEIGHT=600&DMX=0&DMY=0&DMTEXT=&DMROTATE=0,CD-ROM F746.P76 1998 (Disc 2),Idaho -- Aerial Photographs,,"To view related images in the database, click here.",33NEZ335   Black and white vertical photo taken by the Washington National Guard. Location:  Idaho County (Idaho) | 33NEZ335.tif from CD-ROM_F746.P76_1998 (Disc 2) | Idaho Historical Aerial Photographs | 1933
