title,creator,date,description,subject,location,source,orig-coll,format,type,orig-id,rights,object-id
Forest Fire 1910,,1910,View of burnt over area,"fires; damage;; Curtis, A. B.--Photograph Collections; Forest fires--Idaho;; Fires--Idaho; Debris--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",A.B. Curtis Collection,image/jpg,Image;StillImage,13-994,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",85
Forest Fire 1910 - Dull Axe area,,1910,View of burnt over Dull Axe area,"fires; damage;; Curtis, A. B.--Photograph Collections; Forest fires--Idaho;; Fires--Idaho; Debris--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",A.B. Curtis Collection,image/jpg,Image;StillImage,13-995,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",86
Forest Fire 1910 - Wallace [1910] Placer Creek after the fire.,"Barnard Studio (Wallace, Idaho)",1910,Image shows burned timber surrounding Placer Creek after the fire. Forest fire 1910.,"fires;  creeks (bodies of water);; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-C5c,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",87
Forest Fire 1910,,1910,View of burnt over ridge top,"fires; damage;; Curtis, A. B.--Photograph Collections; Forest fires--Idaho;; Fires--Idaho; Debris--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",A.B. Curtis Collection,image/jpg,Image;StillImage,13-996,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",88
Forest Fire 1910 - Fish Hook Creek,,1910,View of burnt over Fish Hook Creek in St. Joe country,"fires; damage;; Curtis, A. B.--Photograph Collections; Forest fires--Idaho;; Fires--Idaho; Debris--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",A.B. Curtis Collection,image/jpg,Image;StillImage,13-997,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",89
"Forest Fire, 1910 - Wallace [1910] Coeur d'Alene Hardware warehouse ruins Sept. 3 after fire of August 20.","Barnard Studio (Wallace, Idaho)",1910-09-03,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.","groups of people; business (commercial function); fires;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;; Debris--Idaho; Cities and towns--Idaho; Men--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-X82,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",90
Forest Fire 1910 - Wallace [1910] Soldiers Camp,"Barnard Studio (Wallace, Idaho)",1910,"Images shows tents of  a Soldiers Camp set up outside of Wallace, Idaho. Forest fire 1910.","fires;  groups of people;  tents (portable buildings);; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-C6,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",91
Forest Fire 1910 - Wallace [1910] Hill about opposite 6th St.,"Barnard Studio (Wallace, Idaho)",1910,"Image shows men working on the hill opposite of 6th St. in Wallace, Idaho. Forest fire 1910.","fires;  groups of people;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; Debris--Idaho; Cities and towns--Idaho; Adults--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-C7,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",92
Forest Fire 1910 - Wallace [1910] Worstell Co. Store,"Barnard Studio (Wallace, Idaho)",1910,Image shows damage from the forest fire to the Worstell Co. Store. A young boy stands in the intersection looking back at the camera. Forest fire 1910.,"fires;  buildings (structures); groups of people;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho; Children--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-C8,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",93
Elsie Pulaski,"Barnard Studio (Wallace, Idaho)",1917,Portrait of Elsie Pulaski,"portraits;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; ",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-07561,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",94
Edward C. Pulaski,"Barnard Studio (Wallace, Idaho)",1917,Group shot of Edward C. Pulaski.,"people;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; ",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-07562,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",95
Walter H. Hanson,"Barnard Studio (Wallace, Idaho)",1912,Advertisement for Walter H. Hanson as a Republican candidate for State Senator.  Made into slide for theatre showings.,"fires; groups of people; dwellings;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; ",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-01606-2,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",96
Emma (Mrs. Edward C.) Pulaski and Child,"Barnard Studio (Wallace, Idaho)",1917,Portrait of Emma (Mrs. Edward C.) Pulaski and Child,"portraits;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires--Idaho;; ",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-P1194,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",97
"Forest Fire, 1910 - Wallace. [1910] Coeur d'Alene Hardware warehouse ruins after fire of August 20.","Barnard Studio (Wallace, Idaho)",1910-08-20,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.","fires; groups of people; railroads; business (commercial function);; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;; Debris--Idaho; Cities and towns--Idaho; Men--Idaho; Women--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-X87,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",98
"Forest Fire, 1910 - Wallace. [1910] Coeur d'Alene Hardware warehouse ruins after fire of August 20.","Barnard Studio (Wallace, Idaho)",1910-08-20,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.","fires; business (commercial function);; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-X88,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",99
"Wallace, Idaho - Brewery - after fire of August 20, 1910","Barnard Studio (Wallace, Idaho)",1910-08-20,"Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.","fires; buildings (structures); business (commercial function);; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-X89a,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",100
"Forest Fire - Wallace [1910] Taken Aug. 25, after fire of Aug. 20","Barnard Studio (Wallace, Idaho)",1910-08-25,"Image of Wallace, Idaho after the fire of August 20, 1910.","fires; buildings (structures); railroads; railroads cars;; Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;; Debris--Idaho; Buildings--Idaho; Bricks; Cities and towns--Idaho;",United States--Idaho--Shoshone County--Wallace,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Barnard Stockbridge Collection,image/jpg,Image;StillImage,8-X89b,"Digital image copyright 2009, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",101
